Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),Estimated Number of 10k-gallon Hauls,Estimated Number of 20k-gallon Hauls
MB Lucky Lady,1218 W. Keyes Road Modesto Ca 95358,37.551184723876,-121.009299774193,041-025-003,Destination Assessor Parcel Number,Other,34.437838,-119.719953,,2024-07-22,True,1500.0,,18.0,,1620000.0,162,0
MB Lucky Lady,1218 W. Keyes Road Modesto Ca 95358,37.551184723876,-121.009299774193,041-025-003,Destination Assessor Parcel Number,Other,34.437838,-119.719953,,2024-09-01,True,1500.0,,21.0,,1890000.0,189,0
Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,37.269334931518,-120.996679058763,28336 W Bambauer Rd Gustine 95322 Merced,Destination Address,Farmer,37.274704353814,-121.000896380799,,2024-01-01,False,,,,,840174.0,84,0
Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,37.269334931518,-120.996679058763,28336 W Bambauer Rd Gustine 95322 Merced,Destination Address,Farmer,37.274704353814,-121.000896380799,,2024-03-20,False,,,,,538220.0,54,0
Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,37.269334931518,-120.996679058763,28336 W Bambauer Rd Gustine 95322 Merced,Destination Address,Farmer,37.274704353814,-121.000896380799,,2024-06-16,False,,,,,636845.0,64,0
Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,37.269334931518,-120.996679058763,28336 W Bambauer Rd Gustine 95322 Merced,Destination Address,Farmer,37.274704353814,-121.000896380799,,2024-08-15,False,,,,,1126270.0,113,0
Martins View Jersey Dairy Inc,1369 S Hunt Rd Gustine Merced 95322,37.269334931518,-120.996679058763,28336 W Bambauer Rd Gustine 95322 Merced,Destination Address,Farmer,37.274704353814,-121.000896380799,,2024-08-25,False,,,,,333885.0,33,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-01-04,False,,,,,810000.0,81,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-02-17,False,,,,,432000.0,43,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-03-02,False,,,,,486000.0,49,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-03-16,False,,,,,648000.0,65,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,2024-05-03,2024-05-04,False,,,,,1350000.0,135,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-06-01,False,,,,,1539000.0,154,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,2024-06-12,2024-06-13,False,,,,,972000.0,97,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,2024-06-22,2024-06-23,False,,,,,1242000.0,124,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-07-01,False,,,,,877500.0,88,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-07-08,False,,,,,729000.0,73,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-07-16,False,,,,,1188000.0,119,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-07-21,False,,,,,945000.0,94,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,2024-07-28,2024-07-31,False,,,,,2767500.0,277,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,2024-08-08,2024-08-09,False,,,,,2133000.0,213,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,2024-08-18,2024-08-19,False,,,,,1917000.0,192,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,2024-08-29,2024-08-30,False,,,,,1971000.0,197,0
Alden Peterson & Sons Dairy,1431 N. Central Ave Turlock 95380,37.506513789998,-120.958869802281,,,Other,,,,2024-09-13,False,,,,,931500.0,93,0
