Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),"Number of <8,000 gal Hauls for Analysis","Number of >=8,000 gal Hauls for Analysis"
2024AR G3 Dairy,1h,24,24,G3 Dairy,5829 E. Panama Lane Bakersfield Ca 93311,35.295934802695,-118.939443717875,"6219 E. Panam Lane Bakersfield, CA",Destination Address,Composting Facility,35.295475816957,-118.933707028131,2024-08-01,2024-08-31,False,,,,,,,
2024AR_AJB Ranch Dairy,1b,104,104,AJB Ranch Dairy,2874 Stockdale Hwy Wastewater Bakersfield Ca 93312 Rwqcd? No,35.353777906384,-119.136484752428,7540 Tracy Ave Buttonwillow Ca,Destination Address,Other,35.431147522959,-119.4247957782,2024-06-01,2024-06-30,False,,,,,,,
2024AR_AJB Ranch Dairy,2b,106,106,AJB Ranch Dairy,2874 Stockdale Hwy Wastewater Bakersfield Ca 93312 Rwqcd? No,35.353777906384,-119.136484752428,Po Box 81498  Bakersfield Ca,Destination Address,Farmer,,,2024-09-01,2024-09-30,False,,,,,,,
2024AR_Bear Mountain Dairy,2a,84,84,Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.21614298933,-119.190643038224,Po Box 20370 Bakersfield Ca,Destination Address,Farmer,,,2024-06-01,2024-06-30,False,,,,,,,
2024AR_Bear Mountain Dairy,2b,84,84,Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.21614298933,-119.190643038224,Po Box 20370 Bakersfield Ca,Destination Address,Farmer,,,2024-08-01,2024-08-31,False,,,,,,,
2024AR_Bear Mountain Dairy,3b,86,86,Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.21614298933,-119.190643038224,"Po Box 27 Edison, CA",Destination Address,Farmer,,,2024-11-01,2024-11-30,False,,,,,,,
2024AR_Bear Mountain Dairy,4a,88,88,Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.21614298933,-119.190643038224,9442 Bear Mountain Blvd. Bakersfield Ca,Destination Address,Farmer,35.210777230193,-119.105872241364,2024-08-01,2024-08-31,False,,,,,,,
2024AR_Bear Mountain Dairy,4b,88,88,Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.21614298933,-119.190643038224,9442 Bear Mountain Blvd. Bakersfield Ca,Destination Address,Farmer,35.210777230193,-119.105872241364,2024-09-01,2024-09-30,False,,,,,,,
2024AR_Solo Dairy_11495 Jumper Ave_Kern,1,70,70,Solo Dairy,11495 Jumper Ave Wasco 93280,35.730303011709,-119.419379979102,,,Blank,,,2024-01-01,2024-12-31,False,,,,,13507200.0,2078,935
2024AR_Diamond D LLC Dairy_9423 Idaho Ave_Kings,2,68,69,Diamond D Dairy,9423 Idaho Ave Hanford 93230,36.269168693698,-119.626552462404,016-270-066,Destination Assessor Parcel Number,Blank,,,2024-01-01,2024-12-31,False,,,,,7000000.0,1077,485
