dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,total_manure_gen_tons,total_manure_gen_s_lbs,city,region,sub_region,year,county,state,zip,latitude,longitude,consultant,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID
HANSEN & SONS INC.,13348 AVENUE 20 CHOWCHILLA Madera 93610,312.0,42.0,12.0,13.0,135.0,40.0,,,9400.7,0.0,0.0,122661.09,0.0,59340.91,0.0,0.0,26064.44,5247.98,44736.94,0.0,68938.13,22257.45,113113.58,1551655.44,26064.44,26064.44,5247.98,44736.94,122827.72,0.0,0.0,0.0,0.0,,,,,2023AR_Hansen & Sons Dairy_13348 Ave 20_Madera.pdf,0.0,0.0,0.0,,95002.57,27505.43,157850.52000000002,1674483.16,26064.44,5247.98,104077.85,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,116738.1782455,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Mamas Heifer Ranch (FormerIy AviIa FamiIy Dairy),13644 Avenue 18 1/2 ChowchiIla Madera 93610,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2023AR_Joe Mama_s Heifer Ranch_13644 Ave 18.5_Madera.pdf,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred O. Soares Dairy,21282 Road 6 RD Chowchilla Madera 93610,940.0,140.0,750.0,610.0,430.0,0.0,,,40365.81,60.0,334194.26,477420.37,77487.01,173842.87,474792.0,3090000.0,5757.05,1518.52,6457.03,31393.89,0.0,0.0,0.0,0.0,5757.05,5757.05,1518.52,6457.03,31393.89,0.15,0.36,0.25,0.57,,,,,2023AR_Alfred Soares Dairy_21282 Road 6_Madera.pdf,27.215519999999998,28.0319856,11050208.72352,,5757.05,1518.52,6457.03,31393.89,339951.31,79005.53,180299.9,506185.89,,,,,11696916.9,4420083.489408,1.0585245213607146,1.0585245213607146,0.0,,,,,-32.47246333102637,,494900.71233939996,11050208.72352,,,,,,,,,,,,,,,,,,,,,,,,,
A.T.O. Dairy,19249 S Fruit AVE RiverdaIe Fresno 93656,850.0,100.0,350.0,300.0,150.0,0.0,,,30121.71,0.0,0.0,370064.5,61171.54,161665.94,0.0,0.0,149183.65,12045.79,0.0,0.0,145790.0,58050.0,239270.0,5734450.2,149183.65,149183.65,12045.79,97169.79,468317.98,0.0,0.0,0.0,0.0,,,,,2023AR_A.T.O. Dairy_19249 S Fruit Ave_Fresno.pdf,0.0,0.0,0.0,,294973.65,70095.79000000001,336439.79,6202768.18,149183.65,73217.33,161665.94,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,366195.398855,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
LaSaIle Dairy,10663 7 1/2 AVE Firebaugh Madera 93622,370.0,82.0,305.0,195.0,85.0,0.0,,,17186.4,0.0,0.0,205610.64,34034.56,0.0,0.0,0.0,0.0,2957.63,39069.62,0.0,31695.03,12081.94,31961.28,0.0,19001.57,19001.57,2957.63,39069.62,220207.86,0.0,0.0,0.0,0.0,,,,,2023AR_LaSalle Dairy_10663 Ave 7.5_Madera.pdf,0.0,0.0,0.0,,50696.6,15039.57,71030.9,220207.86,0.0,36992.189999999995,39069.62,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,195923.81056269997,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Dry River Dairy,12718 Avenue 25 ChowchiIla Madera 93610,965.0,80.0,350.0,280.0,100.0,125.0,,,34487.19,0.0,0.0,431737.6,0.0,194316.48,0.0,0.0,25491.0,5026.63,40473.78,0.0,14569.2,4104.0,13885.2,0.0,25491.0,25491.0,5026.63,40473.78,203588.63,0.0,0.0,0.0,0.0,,,,,2023AR_Dry River Dairy_12718 Ave 25_Madera.pdf,0.0,0.0,0.0,,40060.2,9130.630000000001,54358.979999999996,203588.63,25491.0,5026.63,234790.26,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,395594.69422189996,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Troost Dairy,27000 Road 9 Chowchilla Madera 93610,2310.0,460.0,900.0,0.0,0.0,0.0,,,83312.98,71.0,0.0,0.0,0.0,0.0,0.0,64669500.0,0.0,0.0,296015.62,1999546.33,199054.16,69158.95,332845.42,7593655.39,232512.35,232512.35,37401.71,296015.62,1999546.33,1.21,1.1,1.07,4.42,,,,,2023AR_Troost Dairy_27000 Road 9_Madera.pdf,32.205032,33.17118296,33537724.531708002,,431566.51,106560.66,628861.04,9593201.719999999,0.0,0.0,296015.62,1999546.33,,,,,244800571.995,13415089.812683202,7.299260024738859,7.299260024738859,0.0,,,,,-100.0,,940999.9323319999,33537724.531708002,,,,,,,,,,,,,,,,,,,,,,,,,
RuAnn Dairy,7285 W Davis AVE RiverdaIe Fresno 93656,1100.0,200.0,500.0,415.0,300.0,300.0,,,43430.24,0.0,0.0,536414.86,86619.49,216441.75,0.0,0.0,137074.41,17589.69,100349.21,0.0,44820.0,15710.0,80370.0,923575.9,137074.41,137074.41,17589.69,100349.21,703781.82,0.0,0.0,0.0,0.0,,,,,"2023AR_RuAnn Dairy, LLC_7285 W Davis Ave_Fresno.pdf",0.0,0.0,0.0,,181894.41,33299.69,180719.21000000002,1627357.72,137074.41,104209.18000000001,316790.96,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,518560.7987762,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Viot CaIf Ranch,20330 Road 4 ChowchiIla Madera 93610,3770.0,510.0,700.0,300.0,5200.0,19600.0,,,199927.82,0.0,0.0,2719637.98,332013.13,0.0,0.0,0.0,749436.46,126548.23,0.0,0.0,181872.91,52219.39,199345.0,0.0,625929.73,625929.73,105529.89,734090.44,3994.0,0.0,0.0,0.0,0.0,,,,,2023AR_Vlot Calf Ranch_20330 Road 4_Madera.pdf,0.0,0.0,0.0,,807802.64,157749.28,933435.44,3994.0,749436.46,458561.36,0.0,0.0,,,,,0.0,0.0,,,,,,,,-100.0,,2328837.9044560003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIG DE DAIRY LP,2947 W Manning AVE Fresno Fresno 93706,1147.0,138.0,685.0,686.0,368.0,0.0,,,47060.71,78.0,401001.22,572858.88,94385.59,225689.72,571798.05,40320000.0,96597.05,20709.75,124968.71,703102.97,37210.19,11385.21,76086.51,0.0,96597.05,96597.05,20709.75,124968.71,703102.97,1.07,1.38,1.14,1.84,,,,,2023AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno.pdf,35.380176,36.44158128,17092012.659852,,133807.24,32094.96,201055.22,703102.97,497598.26999999996,115095.34,350658.43,1274901.02,,,,,152627731.20000002,6836805.063940801,8.92976937458702,8.92976937458702,0.0,,,,,-27.88643289420264,,556069.03956324,17092012.659852,,,,,,,,,,,,,,,,,,,,,,,,,
