Latitude,Longitude,Operator/Agency,Facility Name,Facility Address,County,Reg Measure,WDID,Place ID,Amount,Units [Tons] [Cu Yd],Hauled To,Amount,Units [Tons] [Cu Yd],Dates,Dates
34.00647,-117.365583,Ronald Pietersma,Legend Dairy Farms,13332 South Walker Avenue,San Bernardino,442024,9 366044001,630583,"1,332.00",Ton,Composting Facility,"3,007.00",Ton,8/3/23,8/21/23
34.001647,-117.365583,Ronald Pietersma,Legend Dairy Farms,13333 South Walker Avenue,San Bernardino,442025,10 366044001,630583,"1,332.00",Ton,Composting Facility,"2,902.00",Ton,10/8/23,10/30/23
34.001647,-117.365583,Ronald Pietersma,Legend Dairy Farms - 8311 Edison,8311 Edison Avenue,San Bernardino,451011,8 366045001,239652,"3,803.00",Ton,Composting Facility,936,Ton,8/14/23,8/15/23
33.583437,-117.401313,Ronald Pietersma,Legend Dairy Farms - 8311 Edison,8312 Edison Avenue,San Bernardino,451012,9 366045001,239652,"3,803.00",Ton,San Bernardino County,"1,206.00",Ton,8/28/23,8/30/23
33.590314,-117.403788,Ronald Pietersma,Legend Dairy Farms - 8311 Edison,8313 Edison Avenue,San Bernardino,451013,10 366045001,239652,"3,803.00",Ton,San Bernardino County,"1,611.00",Ton,6/21/23,6/24/23
34.001647,-117.365583,Ronald Pietersma,Legend Dairy Farms - 8381 Edison,8381 Edison Avenue,San Bernardino,451026,8 366047001,240561,"3,643.00",Ton,Composting Facility,"2,203.00",Ton,7/28/23,7/30/23
34.001647,-117.365583,Ronald Pietersma,Legend Dairy Farms - 8381 Edison,8381 Edison Avenue,San Bernardino,451026,8 366047001,240561,"3,643.00",Ton,Composting Facility,"1,440.00",Ton,10/23/23,10/26/23
33.585004,-117.402882,Ronald Pietersma,Legend Dairy Farms - 8485 Edison,8485 Edison Avenue,San Bernardino,451012,8 366046001,264438,"10,620.00",Ton,San Bernardino County,"6,093.00",Ton,6/6/23,6/24/23
34.001647,-117.365582,Ronald Pietersma,Legend Dairy Farms - 8485 Edison,8485 Edison Avenue,San Bernardino,451012,8 366046001,264438,"10,620.00",Ton,Composting Facility,"2,907.00",Ton,6/28/23,7/10/23
34.010047,-117.372863,Ronald Pietersma,Legend Dairy Farms - 8485 Edison,8486 Edison Avenue,San Bernardino,451013,9 366046001,264438,"10,620.00",Ton,San Bernardino County,"1,449.00",Ton,7/3/23,7/4/23
34.001647,-117.365583,Ronald Pietersma,Legend Dairy Farms - 8485 Edison,8487 Edison Avenue,San Bernardino,451014,10 366046001,264438,"10,620.00",Ton,Composting Facility,171,Ton,11/15/23,11/15/23
34.001647,-117.365583,Ronald Pietersma,Legend Dairy Farms #6,13567 Whispering Lakes Lane,San Bernardino,453930,8 366050001,210100,"2,997.00",Ton,Composting Facility,"2,997.00",Ton,7/12/23,7/19/23
33.594688,-117.383349,Ronald Pietersma,Legend Dairy Farms #7,9029 Schaefer Avenue,San Bernardino,453931,8 366051001,230074,"2,790.00",Ton,Composting Facility,"1,629.00",Ton,8/9/23,8/12/23
34.001647,-117.365583,Ronald Pietersma,Legend Dairy Farms #7,9029 Schaefer Avenue,San Bernardino,453931,8 366051001,230074,"2,790.00",Ton,Composting Facility,"1,161.00",Ton,8/3/23,8/4/23
34.004911,-117.615572,Martin Bangma,Martin Bangma Dairy,8847 Schaefer Avenue,San Bernardino,211822,8 365861001,239644,30,Ton,Composting Facility (Assumed Lat. & Long),30,Ton,9/20/23,9/20/23
33.83897075,-117.0476176,Michael Oosten,Marvo Holsteins #2,34860 Ramona Expressway,Riverside,390360,8 335701001,256862,"1,675.00",Ton,Composting Facility,"1,675.00",Ton,6/21/23,12/1/23
33.83897075,-117.0476176,Marvin & Marinus Oosten,Marvo Holsteins Dairy,18400 Main Street,Riverside,209422,8 335544001,239719,"5,580.00",Ton,Composting Facility,"5,580.00",Ton,5/8/23,12/14/23
33.823483,-117.033789,John & Margie Oostdam,O & S Holsteins,1970 Warren Road,Riverside,209432,8 335570001,201050,"8,500.00",Ton,*Riverside County (Assumed Lat. & Long),"4,000.00",Ton,10/1/23,12/15/23
33.823483,-117.033789,John & Margie Oostdam,O & S Holsteins,1970 Warren Road,Riverside,209432,8 335570001,201050,"8,500.00",Ton,*Riverside County (Assumed Lat. & Long),"4,500.00",Ton,6/1/23,6/28/23
33.9375,-177.60409,Sam Sousa,OK Cattle - Schaefer,13831 Euclid Avenue,San Bernardino,410041,8 366029001,829568,0,Ton,Composting Facility,"3,049.70",Ton,6/1/23,12/5/23
33.9375,-117.60407,Sam Sousa,OK Cattle LLC,7330 Edison Avenue,San Bernardino,211751,8 365766001,255143,0,Ton,Composting Facility,"7,981.40",Ton,6/1/23,12/5/23
