region,template,parameter_name,page_number,min_page,x0,y0,x1,y1,find_by,page_search_text,row_search_text,separator,item_order,data_type
5,innovative_ag,Total Exports N (lbs),-1,2,NA,NA,NA,NA,text,ESTIMATED TOTAL MANURE TRANSFERRED OFFSITE,Total N,space,1,numeric
5,innovative_ag,Total Exports P (lbs),-1,2,NA,NA,NA,NA,text,ESTIMATED TOTAL MANURE TRANSFERRED OFFSITE,Total P,space,1,numeric
5,innovative_ag,Total Exports K (lbs),-1,2,NA,NA,NA,NA,text,ESTIMATED TOTAL MANURE TRANSFERRED OFFSITE,Total K,space,1,numeric
5,innovative_ag,Total Exports Salt (lbs),-1,2,NA,NA,NA,NA,text,ESTIMATED TOTAL MANURE TRANSFERRED OFFSITE,Total Salt,space,1,numeric
5,innovative_ag,Applied N Dry Manure (lbs),-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Solid Manure,space,0,numeric
5,innovative_ag,Applied P Dry Manure (lbs),-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Solid Manure,space,1,numeric
5,innovative_ag,Applied K Dry Manure (lbs),-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Solid Manure,space,2,numeric
5,innovative_ag,Applied Salt Dry Manure (lbs),-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Solid Manure,space,3,numeric
5,innovative_ag,Applied Process Wastewater N (lbs),-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Process wastewater,space,0,numeric
5,innovative_ag,Applied Process Wastewater P (lbs),-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Process wastewater,space,1,numeric
5,innovative_ag,Applied Process Wastewater K (lbs),-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Process wastewater,space,2,numeric
5,innovative_ag,Applied Process Wastewater Salt (lbs),-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Process wastewater,space,3,numeric
5,innovative_ag,Applied to Removed Ratio N,-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Applied to removed ratio,space,0,numeric
5,innovative_ag,Applied to Removed Ratio P,-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Applied to removed ratio,space,1,numeric
