region,template,parameter_key,page_search_text,search_direction,row_search_text,column_search_text,item_order,ignore_before,ignore_after,value_pattern
5,innovative_ag,applied_process_wastewater_p_lbs,Summary of Nutrient Applications,,Process Wastewater,Total P (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_process_wastewater_k_lbs,Summary of Nutrient Applications,,Process Wastewater,Total K (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_process_wastewater_salt_lbs,Summary of Nutrient Applications,,Process Wastewater,Total Salts (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_to_removed_ratio_n,Summary of Nutrient Applications,,Nitrogen Ratio,Total N (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_to_removed_ratio_p,NA,NA,NA,NA,NA,NA,NA,NA
5,innovative_ag,applied_to_removed_ratio_k,NA,NA,NA,NA,NA,NA,NA,NA
5,innovative_ag,applied_to_removed_ratio_salt,NA,NA,NA,NA,NA,NA,NA,NA
5,livingston,dairy_name,Facility Information,right,Name of Dairy,NA,NA,NA,NA,NA
5,livingston,dairy_address,Facility Information,right,Facility Address,NA,NA,NA,NA,NA
5,livingston,max_milk_cows,Herd Information,table,Maximum Number,Milk Cows,NA,NA,NA,\d+
5,livingston,max_dry_cows,Herd Information,table,Maximum Number,Dry Cows,NA,NA,NA,\d+
5,livingston,max_bred_heifers,Herd Information,table,Maximum Number,Bred Heifers (12-24 mo),NA,NA,NA,\d+
5,livingston,max_heifers,Herd Information,table,Maximum Number,Heifers (3-12 mo),NA,NA,NA,\d+
5,livingston,max_calves_4_6_mo,NA,NA,NA,NA,NA,,NA,
5,livingston,max_calves_0_3_mo,Herd Information,table,Maximum Number,Calves (0-3 mo),NA,NA,NA,\d+
5,livingston,avg_milk_cows,Herd Information,table,Average Number,Milk Cows,NA,NA,NA,\d+
5,livingston,avg_dry_cows,Herd Information,table,Average Number,Dry Cows,NA,NA,NA,\d+
5,livingston,avg_bred_heifers,Herd Information,table,Average Number,Bred Heifers (12-24 mo),NA,NA,NA,\d+
5,livingston,avg_heifers,Herd Information,table,Average Number,Heifers (3-12 mo),NA,NA,NA,\d+
5,livingston,avg_calves_4_6_mo,Herd Information,right,Average number,space,NA,NA,NA,\d+
5,livingston,avg_calves_0_3_mo,Herd Information,table,Average Number,Calves (0-3 mo),NA,NA,NA,\d+
5,livingston,avg_other,NA,NA,NA,NA,NA,NA,NA,NA
5,livingston,total_manure_excreted_tons,Herd Information,right,excreted by the herd:,NA,1,NA,NA,\d+\.?\d*
5,livingston,avg_milk_production_lb_per_cow_per_day,Estimated Manure and Nutrients Generated,below,Milk Production,NA,-1,NA,NA,\d+\.?\d*
5,livingston,total_dry_manure_gen_n_after_ammonia_losses_lbs,Herd Information,right,excreted by the herd:,NA,NA,NA,NA,\d+\.?\d*
5,livingston,total_dry_manure_gen_n_lbs,Herd Information,right,nitrogen from manure:,NA,NA,NA,NA,\d+\.?\d*
5,livingston,total_dry_manure_gen_p_lbs,NA,NA,NA,NA,NA,NA,NA,
5,livingston,total_dry_manure_gen_k_lbs,NA,NA,NA,NA,NA,NA,NA,
5,livingston,total_dry_manure_gen_salt_lbs,Herd Information,below,After Ammonia,NA,NA,NA,NA,\d+\.?\d*
5,livingston,total_process_wastewater_gen_gals,Herd Information,right,Process wastewater gen:,NA,NA,NA,NA,\d+\.?\d*
5,livingston,total_process_wastewater_gen_n_lbs,Herd Information,right,nitrogen gen:,NA,NA,NA,NA,\d+\.?\d*
5,livingston,total_process_wastewater_gen_p_lbs,,,NA,NA,NA,NA,NA,NA
5,livingston,total_process_wastewater_gen_k_lbs,,,NA,NA,NA,NA,NA,NA
5,livingston,total_process_wastewater_gen_salt_lbs,Estimated Manure and Nutrients Generated,below,(TDS) gen:,NA,NA,NA,NA,\d+\.?\d*
5,livingston,total_exports_n_lbs,ESTIMATED TOTAL MANURE TRANSFERRED OFFSITE,below,Total Nitrogen,NA,1,NA,NA,\d+\.?\d*
5,livingston,total_exports_p_lbs,ESTIMATED TOTAL MANURE TRANSFERRED OFFSITE,below,Total Phosphorus,NA,1,NA,NA,\d+\.?\d*
