zip,lat,lng,city,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all
93601,37.39395,-119.73702,Ahwahnee,1248,12.2,6039,Madera,"{""06039"": 63.75, ""06043"": 36.25}",Madera|Mariposa,06039|06043
93602,37.0644,-119.37484,Auberry,3091,10.7,6019,Fresno,"{""06019"": 95.46, ""06039"": 4.54}",Fresno|Madera,06019|06039
93603,36.55118,-118.99607,Badger,177,0.6,6107,Tulare,"{""06107"": 100}",Tulare,6107
93604,37.3717,-119.52215,Bass Lake,518,4.5,6039,Madera,"{""06039"": 100}",Madera,6039
93605,37.17622,-119.24953,Big Creek,83,2.2,6019,Fresno,"{""06019"": 100}",Fresno,6019
93606,36.79871,-120.01625,Biola,1031,575.2,6019,Fresno,"{""06019"": 100}",Fresno,6019
93608,36.5055,-120.3418,Cantua Creek,879,2.9,6019,Fresno,"{""06019"": 100}",Fresno,6019
93609,36.52616,-119.86388,Caruthers,5071,32.1,6019,Fresno,"{""06019"": 100}",Fresno,6019
93610,37.09047,-120.29036,Chowchilla,24088,35.3,6039,Madera,"{""06039"": 85.12, ""06047"": 14.88}",Madera|Merced,06039|06047
93611,36.82552,-119.68115,Clovis,46631,1747.4,6019,Fresno,"{""06019"": 100}",Fresno,6019
93612,36.81548,-119.71076,Clovis,37790,2162.1,6019,Fresno,"{""06019"": 100}",Fresno,6019
93614,37.21282,-119.72659,Coarsegold,11144,33.5,6039,Madera,"{""06039"": 100}",Madera,6039
93615,36.50374,-119.28385,Cutler,5665,135.9,6107,Tulare,"{""06107"": 100}",Tulare,6107
93616,36.65468,-119.59437,Del Rey,2173,60.9,6019,Fresno,"{""06019"": 100}",Fresno,6019
93618,36.52213,-119.38661,Dinuba,32223,186,6107,Tulare,"{""06107"": 88.96, ""06019"": 11.04}",Tulare|Fresno,06107|06019
93619,36.91656,-119.57372,Clovis,53381,110.5,6019,Fresno,"{""06019"": 100}",Fresno,6019
93620,37.0448,-120.6223,Dos Palos,10173,24.4,6047,Merced,"{""06047"": 75.66, ""06019"": 24.09, ""06039"": 0.25}",Merced|Fresno|Madera,06047|06019|06039
93621,36.8067,-119.13602,Dunlap,345,1.7,6019,Fresno,"{""06019"": 100}",Fresno,6019
93622,36.79283,-120.62434,Firebaugh,9683,8.2,6019,Fresno,"{""06019"": 83.43, ""06039"": 10.33, ""06047"": 6.24}",Fresno|Madera|Merced,06019|06039|06047
93623,37.47478,-119.66071,Fish Camp,4,0.1,6043,Mariposa,"{""06043"": 96.0, ""06039"": 4.0}",Mariposa|Madera,06043|06039
93624,36.37258,-120.12125,Five Points,764,2,6019,Fresno,"{""06019"": 100}",Fresno,6019
93625,36.62423,-119.67173,Fowler,8889,143.2,6019,Fresno,"{""06019"": 100}",Fresno,6019
93626,37.03278,-119.68601,Friant,3039,11.8,6039,Madera,"{""06039"": 72.18, ""06019"": 27.82}",Madera|Fresno,06039|06019
93627,36.51568,-120.10635,Helm,295,1.8,6019,Fresno,"{""06019"": 100}",Fresno,6019
93628,36.78149,-118.83839,Hume,397,2.4,6019,Fresno,"{""06019"": 100}",Fresno,6019
93630,36.71831,-120.12912,Kerman,21352,50.8,6019,Fresno,"{""06019"": 100}",Fresno,6019
93631,36.47653,-119.52131,Kingsburg,16656,77.9,6107,Tulare,"{""06107"": 53.33, ""06019"": 25.96, ""06031"": 20.71}",Tulare|Fresno|Kings,06107|06019|06031
93633,36.72912,-118.95627,Kings Canyon National Pk,32,2.6,6107,Tulare,"{""06107"": 100}",Tulare,6107
93634,37.20583,-118.93652,Lakeshore,25,0,6019,Fresno,"{""06019"": 100}",Fresno,6019
