dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_to_reported,estimated_annual_milk_production_l,wastewater_estimated,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation
Hettinga Dairy - San Jacinto,1861 North Warren Road,0.0,0.0,,0.0,,4200.0,0.0,R8_animals.csv,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155512.6829268293,0.0,0.0,0.0
Hettinga Dairy - San Jacinto,1861 North Warren Road,0.0,0.0,,0.0,,4200.0,0.0,R8_animals.csv,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155512.6829268293,0.0,0.0,0.0
Hettinga Ranch - Lake Mathews,15250 El Sobrante Road,0.0,0.0,,975.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108303.4756097561,0.0,0.0,0.0
Hollandia Farms North,35600 Ramona Expressway,2500.0,350.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33048309.423120003,34039758.7058136,0.0,0.0,0.0,0.0,0.0,865317.0,0.0,0.0,0.0
Jim Bootsma Jr. Dairy,33100 Fernandez Road,1500.0,245.0,,448.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,2193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20234842.085384,20841887.34794552,0.0,0.0,0.0,0.0,0.0,579580.9585365854,0.0,0.0,0.0
LaBrucherie Bros LLC - Schaefer,8484 Schaefer Avenue,108.0,5.0,,2.0,,2.0,0.0,R8_animals.csv,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310336.4788815998,1349646.5732480478,0.0,0.0,0.0,0.0,0.0,34605.274634146335,0.0,0.0,0.0
Legend Dairy Farm,13456 Walker Avenue,1200.0,200.0,,600.0,,0.0,10.0,R8_animals.csv,0.0,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16234257.26048,16721284.9782944,0.0,0.0,0.0,0.0,0.0,491716.2926829268,0.0,0.0,0.0
Legend Dairy Farm,13456 Walker Avenue,1200.0,200.0,,600.0,,0.0,10.0,R8_animals.csv,0.0,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16234257.26048,16721284.9782944,0.0,0.0,0.0,0.0,0.0,491716.2926829268,0.0,0.0,0.0
Legend Dairy Farm,13456 Walker Avenue,1200.0,200.0,,600.0,,0.0,10.0,R8_animals.csv,0.0,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16234257.26048,16721284.9782944,0.0,0.0,0.0,0.0,0.0,491716.2926829268,0.0,0.0,0.0
Legend Dairy Farm,13456 Walker Avenue,1200.0,200.0,,600.0,,0.0,10.0,R8_animals.csv,0.0,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16234257.26048,16721284.9782944,0.0,0.0,0.0,0.0,0.0,491716.2926829268,0.0,0.0,0.0
Legend Dairy Farms,9155 Riverside Drive,1800.0,300.0,,200.0,,0.0,20.0,R8_animals.csv,0.0,0.0,0.0,2320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24351385.89072,25081927.4674416,0.0,0.0,0.0,0.0,0.0,659818.0975609756,0.0,0.0,0.0
Legend Dairy Farms,9155 Riverside Drive,1800.0,300.0,,200.0,,0.0,20.0,R8_animals.csv,0.0,0.0,0.0,2320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24351385.89072,25081927.4674416,0.0,0.0,0.0,0.0,0.0,659818.0975609756,0.0,0.0,0.0
Legend Dairy Farms,9155 Riverside Drive,1800.0,300.0,,200.0,,0.0,20.0,R8_animals.csv,0.0,0.0,0.0,2320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24351385.89072,25081927.4674416,0.0,0.0,0.0,0.0,0.0,659818.0975609756,0.0,0.0,0.0
